customer_id,Fitness__forecast,Food__forecast,Friend Activities__forecast,Gifts__forecast,Groceries__forecast,Hobbies__forecast,Housing and Utilities__forecast,Medical/Dental__forecast,Personal Hygiene__forecast,Shopping__forecast,Subscriptions__forecast,Transportation__forecast,Travel__forecast,Fitness__avg_txn,Food__avg_txn,Friend Activities__avg_txn,Gifts__avg_txn,Groceries__avg_txn,Hobbies__avg_txn,Housing and Utilities__avg_txn,Medical/Dental__avg_txn,Personal Hygiene__avg_txn,Shopping__avg_txn,Subscriptions__avg_txn,Transportation__avg_txn,Travel__avg_txn,Fitness__n_txn,Food__n_txn,Friend Activities__n_txn,Gifts__n_txn,Groceries__n_txn,Hobbies__n_txn,Housing and Utilities__n_txn,Medical/Dental__n_txn,Personal Hygiene__n_txn,Shopping__n_txn,Subscriptions__n_txn,Transportation__n_txn,Travel__n_txn,Fitness__max30d,Food__max30d,Friend Activities__max30d,Gifts__max30d,Groceries__max30d,Hobbies__max30d,Housing and Utilities__max30d,Medical/Dental__max30d,Personal Hygiene__max30d,Shopping__max30d,Subscriptions__max30d,Transportation__max30d,Travel__max30d,Fitness__velocity,Food__velocity,Friend Activities__velocity,Gifts__velocity,Groceries__velocity,Hobbies__velocity,Housing and Utilities__velocity,Medical/Dental__velocity,Personal Hygiene__velocity,Shopping__velocity,Subscriptions__velocity,Transportation__velocity,Travel__velocity
CUST_0001,804.7,35.06,225.51,157.69,30.14,9.91,33.01,76.36,185.7,283.35,11.61,13.85,711.52,539.36375,26.74125,170.472,84.204,31.355,136.1525,81.8,281.56066666666663,148.89124999999999,494.84,19.207222222222224,203.7325,466.97666666666663,8.0,8.0,10.0,5.0,2.0,4.0,4.0,15.0,8.0,3.0,18.0,4.0,15.0,1802.1599999999999,92.66999999999999,370.92,186.98000000000002,38.17,199.29,122.46,730.11,400.0,1203.2,78.31,342.33,1657.17,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8154269972451791,1.0,1.0,1.0,0.5,1.0
CUST_0002,618.5,45.36,152.26,192.39,13.1,84.75,3186.19,49.22,11.54,1082.58,9.06,25.86,322.15,682.1522222222222,45.77,116.434,387.4266666666667,10.8675,140.7785714285714,2348.971304347826,444.4633333333333,10.416666666666666,1778.2283333333332,22.951249999999998,69.62272727272726,493.86857142857144,9.0,6.0,5.0,6.0,12.0,21.0,23.0,6.0,3.0,6.0,8.0,11.0,7.0,2018.52,139.36,342.54999999999995,1022.79,30.63,372.17,10000.0,867.54,11.78,3000.0,73.89,174.66,911.32,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,1.0
CUST_0003,302.98,160.99,112.28,196.49,25.2,6.03,671.01,16.97,31.69,1876.94,8.55,60.23,495.46,242.772,92.71142857142857,104.945,270.5490909090909,19.235,80.885,1363.9383333333333,460.49,23.993636363636366,1923.3529411764705,10.93142857142857,290.635,601.9372727272727,5.0,7.0,12.0,11.0,12.0,4.0,6.0,2.0,11.0,17.0,7.0,6.0,11.0,841.7,336.97,583.06,872.17,48.54,175.89,4797.33,499.83,54.08,5734.12,13.1,799.75,2000.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.2975794969150451,2.0,0.5,1.0,0.5
CUST_0004,131.7,207.36,54.59,271.2,13.36,8.72,3332.67,170.91,68.19,877.71,4.28,4.76,27.55,141.17125000000001,214.1057142857143,53.501999999999995,620.2541666666667,9.370000000000001,239.35,2860.44125,500.3052631578947,33.470000000000006,528.8100000000001,11.99,18.774285714285718,21.593333333333334,8.0,7.0,5.0,12.0,7.0,4.0,16.0,19.0,3.0,5.0,1.0,7.0,3.0,531.07,500.0,69.83,2387.8,27.93,359.52,8529.86,1686.09,77.93,1920.29,11.99,55.99,45.14,0.5,2.0,0.5,1.0,1.0,1.0,1.0,0.7242398569142428,0.5,2.0,1.0,1.0,0.5
CUST_0005,422.8,35.19,226.6,77.29,7.59,13.25,0.0,50.63,579.42,418.49,18.88,25.26,538.5,221.0525,30.134000000000004,241.475,67.103,12.726296296296297,249.33,0.0,347.94153846153847,298.5621052631579,1251.953,39.846,280.948,208.038125,8.0,10.0,2.0,10.0,27.0,5.0,0.0,13.0,19.0,10.0,10.0,5.0,16.0,657.68,55.61,295.95,121.06,73.94,635.8199999999999,0.0,952.95,1150.41,4108.64,80.0,687.5,796.97,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0
CUST_0006,870.26,205.14,225.71,125.65,20.78,3.02,94.39,65.7,12.45,1623.94,4.51,17.14,347.9,947.639090909091,216.245,226.3808333333333,203.78166666666667,22.2275,41.4875,97.25,515.6514285714285,11.274285714285714,1632.7664285714286,10.305,168.96666666666667,337.76,11.0,2.0,12.0,18.0,8.0,4.0,6.0,7.0,7.0,14.0,10.0,12.0,3.0,2500.0,248.23,730.88,1490.12,65.95,46.9,168.5,659.06,26.439999999999998,3559.16,25.48,800.0,760.14,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0
CUST_0007,322.16,54.72,277.73,149.55,19.79,89.42,1046.96,37.97,11.1,152.82,15.87,12.71,185.3,231.41833333333332,57.48,243.95000000000002,387.2494736842105,9.811428571428573,166.45533333333333,1125.989,346.465,11.886,2596.9514285714286,40.589999999999996,122.47307692307693,387.7478571428572,12.0,4.0,4.0,19.0,7.0,15.0,10.0,6.0,5.0,7.0,3.0,13.0,14.0,650.84,92.74,369.0,1714.3600000000001,21.3,618.6800000000001,4037.48,619.09,14.46,3000.0,43.6,477.39,1631.54,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5
CUST_0008,86.59,71.65,0.0,362.86,63.15,20.0,325.91,75.25,396.87,2238.48,0.0,22.42,415.89,85.8125,68.304,0.0,416.55052631578945,22.926521739130436,57.14333333333334,581.3,243.60117647058826,208.20076923076925,2326.705,0.0,229.93500000000003,309.58166666666665,4.0,5.0,0.0,19.0,23.0,12.0,15.0,17.0,13.0,10.0,0.0,6.0,6.0,103.61,209.55,0.0,1072.01,114.95,181.2,2949.81,799.38,400.0,6000.0,0.0,388.29,1218.5,1.0,1.0,0.0,0.5,2.0,0.5,1.158248081841432,0.5,0.5,1.0,0.0,1.0,1.0
CUST_0009,453.18,43.69,23.9,157.02,19.71,15.66,116.51,98.59,248.54,444.21,5.4,1.16,53.57,323.8118181818182,51.6025,22.098000000000003,234.30529411764707,19.80857142857143,121.37714285714286,123.55250000000001,484.3027272727273,190.05499999999998,2218.7616666666668,13.14,7.36,52.96333333333333,11.0,8.0,5.0,17.0,7.0,7.0,12.0,11.0,12.0,18.0,6.0,7.0,3.0,1145.99,162.76000000000002,45.86,791.65,24.02,272.54,323.61,911.29,401.15000000000003,6000.0,19.63,9.21,88.16,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
CUST_0010,212.63,24.27,266.86,177.95,45.35,12.75,328.78,15.62,90.26,1558.68,17.71,15.39,985.28,205.24333333333334,31.28,248.28636363636363,128.45105263157893,17.22533333333333,49.691428571428574,355.45461538461535,283.5733333333333,219.24882352941177,2412.922,31.715,116.48625,430.00615384615384,3.0,4.0,11.0,19.0,15.0,7.0,13.0,3.0,17.0,5.0,12.0,8.0,13.0,323.4,34.91,767.3399999999999,487.83,86.27,94.86,1259.08,407.98,735.75,3000.0,113.72,362.85,1641.47,0.5,0.5,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
CUST_0011,145.98,33.33,188.14,576.66,10.2,4.5,383.66,89.28,179.05,3741.91,4.95,31.89,551.39,244.058,25.72125,189.34666666666666,283.34250000000003,10.22,82.29333333333334,735.5227777777777,394.91499999999996,261.2142857142857,2271.0275,11.638571428571428,208.407,358.47333333333336,15.0,8.0,3.0,16.0,4.0,3.0,18.0,6.0,7.0,8.0,7.0,10.0,3.0,768.78,61.24,313.19,1063.25,13.39,97.24,5000.0,979.26,859.62,3000.0,22.29,873.52,972.5999999999999,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.564421190320471,0.5,0.5
CUST_0012,563.05,223.72,34.29,97.74,3.94,11.47,59.48,200.57,10.46,1289.09,9.71,16.48,36.72,618.1888888888889,120.73857142857143,34.19,114.91272727272727,5.395,90.99142857142859,126.81375,439.8396,13.645,1747.0077777777778,15.049375,212.20999999999998,31.53076923076923,9.0,7.0,2.0,11.0,4.0,7.0,8.0,25.0,4.0,9.0,16.0,5.0,13.0,1972.65,305.02,35.88,498.4,6.53,152.85,379.32000000000005,1849.22,31.4,6000.0,54.98,771.15,83.06,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0
CUST_0013,1126.68,46.42,192.05,336.19,9.66,5.25,0.0,295.78,63.92,43.62,11.26,29.35,864.89,530.7215384615384,82.572,179.7411111111111,331.286,9.047142857142857,96.06,0.0,482.98294117647055,217.96,161.51000000000002,24.50888888888889,234.54500000000002,339.13230769230773,13.0,5.0,9.0,10.0,7.0,3.0,0.0,17.0,4.0,6.0,9.0,8.0,13.0,1630.28,234.83,351.56,1088.42,17.53,115.45,0.0,1469.66,322.19,342.04,69.44,736.75,1782.2399999999998,2.0,0.6209601506118606,0.5,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.5,0.5,1.0
CUST_0014,29.55,122.12,82.31,602.21,42.78,2.89,498.9,82.81,191.55,2299.18,11.68,27.99,136.82,29.55,30.72,72.04400000000001,442.1585714285714,20.653125,157.74,926.6592857142857,411.33363636363634,97.23066666666666,1824.6833333333334,18.35153846153846,91.92888888888889,79.047,1.0,17.0,5.0,7.0,16.0,1.0,14.0,11.0,15.0,18.0,13.0,9.0,10.0,29.55,197.85,167.53,1297.4099999999999,95.99000000000001,157.74,5000.0,872.6,418.78,4155.58,66.0,279.8,290.85,1.0,1.0,1.0,1.0,0.9693251533742332,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
CUST_0015,139.19,14.76,363.68,532.72,8.44,25.92,598.32,75.25,387.83,1597.04,6.66,11.2,107.45,144.65166666666667,19.8425,245.4875,394.255,8.424,85.71529411764706,1168.2826666666667,464.31888888888886,161.10923076923078,2247.8416666666667,14.695714285714287,66.94800000000001,108.43,6.0,4.0,4.0,26.0,5.0,17.0,15.0,9.0,13.0,6.0,7.0,10.0,17.0,232.39,30.42,872.69,1994.3300000000002,10.45,302.05,4383.4,736.15,400.0,3000.0,32.2,99.42,597.22,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8707684704719546
